,file_name,case_name,docket_number,Argued,Decided,first_party,first_party_label,second_party,second_party_label,winning_party,decision_type,majority_vote,minority_vote,john_m_harlan2,hugo_l_black,william_o_douglas,potter_stewart,william_j_brennan_jr,byron_r_white,earl_warren,tom_c_clark,abe_fortas,thurgood_marshall,harry_a_blackmun,lewis_f_powell_jr,william_h_rehnquist,john_paul_stevens,sandra_day_oconnor,antonin_scalia,advocate_ID_0,advocate_0,advocate_description_0,advocate_ID_1,advocate_1,advocate_description_1,anthony_m_kennedy,david_h_souter,clarence_thomas,ruth_bader_ginsburg,stephen_g_breyer,advocate_ID_2,advocate_2,advocate_description_2,Granted,john_g_roberts_jr,samuel_a_alito_jr,warren_e_burger,Reargued,felix_frankfurter,harold_burton,stanley_reed,sherman_minton,arthur_j_goldberg,sonia_sotomayor,advocate_ID_3,advocate_3,advocate_description_3,advocate_ID_4,advocate_4,advocate_description_4,charles_e_whittaker,advocate_ID_5,advocate_5,advocate_description_5,advocate_ID_6,advocate_6,advocate_description_6,advocate_ID_7,advocate_7,advocate_description_7,advocate_ID_8,advocate_8,advocate_description_8,advocate_ID_9,advocate_9,advocate_description_9,elena_kagan,neil_gorsuch,brett_m_kavanaugh,advocate_ID_10,advocate_10,advocate_description_10,Restored to the calendar and set for reargument,"Revoked order of June 23, 1975",advocate_ID_11,advocate_11,advocate_description_11,advocate_ID_12,advocate_12,advocate_description_12,advocate_ID_13,advocate_13,advocate_description_13,advocate_ID_14,advocate_14,advocate_description_14,advocate_ID_15,advocate_15,advocate_description_15,Question certified to the Supreme Court of Florida,Question certified,Juris Postponed
0,1993.92-1546,United States v. Irvine,92-1546,755157600.0,766818000.0,United States,Petitioner,Irvine et al.,Respondent,United States,majority opinion,8.0,0.0,,,,,,,,,,,none,,majority,majority,majority,majority,38155.0,phillip_h_martin,on behalf of the Respondents,33864.0,kent_l_jones,on behalf of the Plaintiff,majority,majority,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2004.04-514,Bell v. Thompson,04-514,1114491600.0,1119848400.0,"Ricky Bell, Warden",Petitioner,Gregory Thompson,Respondent,"Ricky Bell, Warden",majority opinion,5.0,4.0,,,,,,,,,,,,,majority,minority,majority,majority,36627.0,matthew_m_shors,argued the cause for Respondent,33022.0,jennifer_l_smith,argued the cause for Petitioner,majority,minority,majority,minority,minority,,,,1105077600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1966.45,Cichos v. Indiana,45,-101070000.0,-98820000.0,Cichos,Petitioner,Indiana,Respondent,,majority opinion,6.0,3.0,majority,majority,minority,majority,majority,majority,minority,majority,minority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1968.68,McDonald v. Board of Election Comm'rs of Chicago,68,-35229600.0,-21409200.0,McDonald,Appellant,Board of Election Comm'rs of Chicago,Appellee,,majority opinion,9.0,0.0,majority,majority,majority,majority,majority,majority,majority,,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2016.15-1191,Lynch v. Morales-Santana,15-1191,1478671200.0,,"Loretta E. Lynch, Attorney General",Petitioner,Luis Ramon Morales-Santana,Respondent,,,,,,,,,,,,,,,,,,,,,22617.0,edwin_s_kneedler,for petitioner,62764.0,stephen_a_broome,for respondent,,,,,,,,,1467090000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1985.84-6470,Davidson v. Cannon,84-6470,500104800.0,506671200.0,Davidson,Petitioner,Cannon,Respondent,,majority opinion,6.0,3.0,,,,,minority,majority,,,,minority,minority,majority,majority,majority,majority,,29684.0,james_d_crawford,on behalf of the Petitioner,36315.0,madeleine_w_mansier,on behalf of Respondents,,,,,,18942.0,charles_fried,"as amicus curiae, in support of Respondents",,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1976.76-128,Mandel v. Bradley,76-128,225525600.0,235285200.0,Mandel,Appellant,Bradley,Appellee,Mandel,per curiam,7.0,1.0,,,,majority,majority,majority,,,,majority,majority,majority,none,minority,,,25848.0,george_a_nilson,,29020.0,jon_t_brown,,,,,,,,,,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1997.97-29,Texas v. United States,97-29,884757600.0,891324000.0,Texas,Appellant,United States,Appellee,,majority opinion,9.0,0.0,,,,,,,,,,,,,majority,majority,majority,majority,38417.0,paul_r_q_wolfson,"Department of Justice, argued the cause for the appellees",28791.0,javier_aguilar,Argued the cause for the appellant,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1985.84-1479,Kuhlmann v. Wilson,84-1479,506066400.0,520146000.0,Kuhlmann,Petitioner,Wilson,Respondent,Kuhlmann,majority opinion,6.0,3.0,,,,,minority,majority,,,,minority,majority,majority,majority,minority,majority,,41571.0,steven_p_kartagener,on behalf of Petitioner,38431.0,philip_s_weber,on behalf of Respondent,,,,,,41583.0,steven_r_kartagener,on behalf of petitioner,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1955.8,"Indian Towing Company, Inc. v. United States",8,-469908000.0,-445370400.0,"Indian Towing Company, Inc.",Petitioner,United States,Respondent,"Indian Towing Company, Inc.",majority opinion,5.0,4.0,majority,majority,majority,,,,majority,minority,,,,,,,,,,,,,,,,,,,,,,,,,,,-448743600.0,majority,minority,minority,minority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1971.71-5078,Peters v. Kiff,71-5078,67586400.0,78037200.0,Peters,Petitioner,Kiff,Respondent,Peters,plurality opinion,6.0,3.0,,,majority,majority,majority,majority,,,,majority,minority,majority,minority,,,,22376.0,edward_t_m_garland,,20577.0,dorothy_t_beasley,,,,,,,,,,,,,minority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1964.149,Armstrong v. Manzo,149,-151956000.0,-147726000.0,Armstrong,Petitioner,Manzo,Respondent,Armstrong,majority opinion,9.0,0.0,majority,majority,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1977.77-747,Allied Structural Steel Company v. Spannaus,77-747,262332000.0,267685200.0,Allied Structural Steel Company,Appellant,Spannaus,Appellee,Allied Structural Steel Company,majority opinion,5.0,3.0,,,,majority,minority,minority,,,,minority,none,majority,majority,majority,,,25141.0,george_b_christensen,Argued the cause for the appellant,18066.0,byron_e_starns,Argued the cause for the appellees,,,,,,,,,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1981.89_orig,California ex rel. State Lands Commission v. United States,89 ORIG,386229600.0,393224400.0,California ex rel. State Lands Commission,Petitioner,United States,Respondent,,majority opinion,9.0,0.0,,,,,majority,majority,,,,majority,majority,majority,majority,majority,majority,,34216.0,louis_f_claiborne,on behalf of the Defendant,17612.0,bruce_s_flushman,on behalf of the Plaintiff,,,,,,,,,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1997.97-147,Atlantic Mutual Insurance Company v. Commissioner of Internal Revenue,97-147,888818400.0,893134800.0,Atlantic Mutual Insurance Company,Petitioner,Commissioner of Internal Revenue,Respondent,Commissioner of Internal Revenue Service,majority opinion,9.0,0.0,,,,,,,,,,,,,majority,majority,majority,majority,24887.0,george_r_abramowitz,for Petitioner,33864.0,kent_l_jones,for Respondent,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1981.80-1430,Engle v. Isaac,80-1430,376639200.0,386834400.0,"Ted Engle, Superintendant, Chillicothe Correctional Institute",Petitioner,"Lincoln Isaac, et al.",Respondent,Engle,majority opinion,7.0,2.0,,,,,minority,majority,,,,minority,majority,majority,majority,majority,majority,,41619.0,simon_b_karas,on behalf of the Petitioner,31317.0,james_r_kingsley,on behalf of the Respondent Isaac,,,,,,38532.0,richard_l_aynes,on behalf of Respondents Bell and Hughes,356594400.0,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1966.79,Pierson v. Ray,79,-93808800.0,-86032800.0,Pierson,Petitioner,Ray,Respondent,,majority opinion,8.0,1.0,majority,majority,minority,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1990.89-1541,Martin v. Occupational Safety and Health Review Commission,89-1541,659685600.0,669448800.0,Martin,Petitioner,Occupational Safety and Health Review Commission,Respondent,Martin,majority opinion,9.0,0.0,,,,,,majority,,,,majority,majority,,majority,majority,majority,majority,20126.0,clifford_m_sloan,on behalf of the Petitioner,30248.0,john_d_faught,on behalf of the Respondents,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1989.87-1955,Lewis v. Continental Bank Corporation,87-1955,628236000.0,636616800.0,Lewis,Appellant,Continental Bank Corporation,Appellee,Lewis,majority opinion,9.0,0.0,,,,,majority,majority,,,,majority,majority,,majority,majority,majority,majority,17197.0,arthur_e_wilmarth_jr,on behalf of the Appellant,16110.0,andrew_l_gordon,for respondents,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2009.09-497,"Rent-A-Center West, Inc. v. Jackson",09-497,1272258000.0,1277096400.0,"Rent-A-Center West, Inc.",Petitioner,Antonio Jackson,Respondent,"Rent-A-Center West, Inc.",majority opinion,5.0,4.0,,,,,,,,,,,,,,minority,,majority,39292.0,robert_f_friedman,for the petitioner,28706.0,ian_e_silverberg,for the respondent,majority,,majority,minority,minority,,,,1263535200.0,majority,majority,,,,,,,,minority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1975.74-1243,Beckwith v. United States,74-1243,186645600.0,198914400.0,Beckwith,Petitioner,United States,Respondent,,majority opinion,7.0,1.0,,,,majority,minority,majority,,,,majority,majority,majority,majority,none,,,30449.0,john_g_gill_jr,for petitioner,41108.0,scott_p_crampton,for respondent,,,,,,,,,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1990.89-1555,Dennis v. Higgins,89-1555,657352800.0,667029600.0,Dennis,Petitioner,Higgins,Respondent,Dennis,majority opinion,7.0,2.0,,,,,,majority,,,,majority,majority,,minority,majority,majority,majority,34191.0,l_jay_bartel,on behalf of the Respondents,38596.0,richard_a_allen,on behalf of the Petitioner,minority,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1987.87-505,Chick Kam Choo v. Exxon Corporation,87-505,575704800.0,579762000.0,Chick Kam Choo,Petitioner,Exxon Corporation,Respondent,Chick Kam Choo,majority opinion,9.0,0.0,,,,,majority,majority,,,,majority,majority,,majority,majority,majority,majority,17864.0,benton_musslewhite,on behalf of the Petitioner,29780.0,james_patrick_cooney,for respondents,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1968.4,Johnson v. Avery,40,-35661600.0,-26848800.0,Johnson,Petitioner,Avery,Respondent,Johnson,majority opinion,7.0,2.0,majority,minority,majority,majority,majority,minority,majority,,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1984.83-1274,Metropolitan Life Ins. Company v. Ward,83-1274,468050400.0,480664800.0,Metropolitan Life Ins. Company,Appellant,Ward,Appellee,Metropolitan Life Ins. Company,majority opinion,5.0,4.0,,,,,minority,majority,,,,minority,majority,majority,minority,majority,minority,,36970.0,matthew_j_zinn,on behalf of Appellants,45362.0,warren_b_lightfoot,on behalf of Appellees,,,,,,,,,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2002.01-704,United States v. Bean,01-704,1034744400.0,1039500000.0,United States,Petitioner,Bean,Respondent,United States,majority opinion,9.0,0.0,,,,,,,,,,,,,majority,majority,majority,majority,22617.0,edwin_s_kneedler,Argued the cause for the petitioners,42731.0,thomas_c_goldstein,Argued the case for the respondent,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,19045.0,craig_goldblatt,for the Violence Policy Center as amicus curiae urging reversal,36403.0,mathew_s_nosanchuk,for the Violence Policy Center as amicus curiae urging reversal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1978.77-6067,Duren v. Missouri,77-6067,278748000.0,284709600.0,Billy Duren ,Petitioner,Missouri,Respondent,Duren,majority opinion,8.0,1.0,,,,majority,majority,majority,,,,majority,majority,majority,minority,majority,,,34903.0,lee_m_nation,argued the cause for the petitioner,37182.0,nanette_laughrey,argued the cause for the respondent,,,,,,15084.0,ruth_bader_ginsburg,for the petitioner,262846800.0,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1991.90-1859,Keeney v. Tamayo-Reyes,90-1859,695455200.0,704955600.0,Keeney,Petitioner,Tamayo-Reyes,Respondent,Keeney,majority opinion,5.0,4.0,,,,,,majority,,,,,minority,,majority,minority,minority,majority,31423.0,jack_l_landau,on behalf of the Petitioner,42217.0,steven_t_wax,on behalf of the Respondent,minority,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1986.85-732,"Western Air Lines, Inc. v. Board of Equalization of the State of South Dakota",85-732,531381600.0,541144800.0,"Western Air Lines, Inc.",Appellant,Board of Equalization of the State of South Dakota,Appellee,,majority opinion,9.0,0.0,,,,,majority,majority,,,,majority,majority,majority,majority,majority,majority,majority,36320.0,mark_v_meierhenry,on behalf of Appellees,40300.0,raymond_j_rasenberger,on behalf of Appellants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1977.76-1621,McAdams v. McSurely,76-1621,257580000.0,267685200.0,McAdams,Petitioner,McSurely,Respondent,,per curiam,9.0,0.0,,,,majority,majority,majority,,,,majority,majority,majority,majority,majority,,,23867.0,frank_h_easterbrook,,36744.0,morton_stavis,,,,,,,,,,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1982.81-1494,Block v. Neal,81-1494,411804000.0,415864800.0,Block,Petitioner,Neal,Respondent,,majority opinion,9.0,0.0,,,,,majority,majority,,,,majority,majority,majority,majority,majority,majority,,34208.0,lenny_l_croce,on behalf of the Respondent,19760.0,carter_g_phillips,on behalf of the Petitioners,,,,,,,,,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1963.109,Wilbur-Ellis Company v. Kuther,109,-185047200.0,-175633200.0,Wilbur-Ellis Company,Petitioner,Kuther,Respondent,Wilbur-Ellis Company,majority opinion,8.0,1.0,minority,majority,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1959.6,"Arnold v. Ben Kanowsky, Inc.",60,-314733600.0,-311018400.0,Arnold,Petitioner,"Ben Kanowsky, Inc.",Respondent,Arnold,majority opinion,8.0,1.0,majority,majority,majority,majority,majority,,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,,,,,,,,,,,,minority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1983.82-1734,Palmore v. Sidoti,82-1734,446277600.0,451634400.0,Palmore,Petitioner,Sidoti,Respondent,Palmore,majority opinion,9.0,0.0,,,,,majority,majority,,,,majority,majority,majority,majority,majority,majority,,40586.0,robert_j_shapiro,Argued the cause for the petitioner,30862.0,john_e_hawtrey,Argued the cause for the respondent,,,,,,,,,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1988.87-996,Coit Independence Joint Venture v. Federal Savings and Loan Insurance Corporation,87-996,594367200.0,606463200.0,Coit Independence Joint Venture,Petitioner,Federal Savings and Loan Insurance Corporation,Respondent,Coit Independence Joint Venture,majority opinion,9.0,0.0,,,,,majority,majority,,,,majority,majority,,majority,majority,majority,majority,31838.0,jeffrey_p_minear,on behalf of the Respondent,39336.0,robert_e_goodfriend,on behalf of the Petitioner,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1987.87-920,Meyer v. Grant,87-920,577947600.0,581576400.0,Meyer,Petitioner,Grant,Respondent,Grant,,9.0,0.0,,,,,majority,majority,,,,majority,majority,,majority,majority,majority,majority,,,,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1959.5,Hess v. United States,5,-322340400.0,-314128800.0,Henry L. Hess Jr.,Petitioner,United States,Respondent,Hess,majority opinion,6.0,3.0,minority,majority,majority,majority,majority,,majority,majority,,,,,,,,,18591.0,cleveland_c_cory,for the petitioner,16789.0,alan_s_rosenthal,for the respondent,,,,,,,,,-341949600.0,,,,,minority,,,,,,,,,,,,minority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2007.07-77,Riley v. Kennedy,07-77,1206334800.0,1211864400.0,"Bob Riley, Governor of Alabama",Appellant,Yvonne Kennedy et al.,Appellee,"Yvonne Kennedy, et al.",majority opinion,7.0,2.0,,,,,,,,,,,,,,minority,,majority,38065.0,pamela_s_karlan,on behalf of the Appellees,33930.0,kevin_c_newsom,on behalf of the Appellant,majority,minority,majority,majority,majority,33978.0,kannon_k_shanmugam,"on behalf of the United States, as amicus curiae, supporting the Appellees",,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1993.92-1750,"Fogerty v. Fantasy, Inc.",92-1750,755330400.0,762501600.0,Fogerty,Petitioner,"Fantasy, Inc.",Respondent,Fogerty,majority opinion,9.0,0.0,,,,,,,,,,,majority,,majority,majority,majority,majority,35022.0,lawrence_s_robbins,on behalf of the Respondent,33997.0,kenneth_i_sidle,on behalf of the Petitioner,majority,majority,majority,majority,,31770.0,jonathan_a_marshall,for Hewlett-Packard Co. as amicus curiae urging reversal,,,,,,,,,,,,45889.0,william_g_pecau,for Hewlett-Packard Co. as amicus curiae urging reversal,33044.0,jon_r_stark,for Hewlett-Packard Co. as amicus curiae urging reversal,,41296.0,stephen_p_fox,for Hewlett-Packard Co. as amicus curiae urging reversal,39332.0,roland_i_griffin,for Hewlett-Packard Co. as amicus curiae urging reversal,29322.0,jack_e_brown,"for Apple Computer, Inc., as amicus curiae urging affirmance",19745.0,chris_r_ottenweller,"for Apple Computer, Inc., as amicus curiae urging affirmance",18514.0,charles_a_blanchard,"for Apple Computer, Inc., as amicus curiae urging affirmance",,,,,,,,,,,,,,,,,,,,,,,,,,
0,2000.99-7504,Lopez v. Davis,99-7504,972885600.0,979106400.0,Lopez,Petitioner,Davis,Respondent,,majority opinion,6.0,3.0,,,,,,,,,,,,,minority,minority,majority,majority,17414.0,beth_s_brinkmann,"Department of Justice, argued the cause for the respondents",36320.0,mark_v_meierhenry,Argued the cause for the petitioner,minority,majority,majority,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
