,file_name,case_name,docket_number,Argued,Decided,Granted,first_party,first_party_label,second_party,second_party_label,winning_party,decision_type,majority_vote,minority_vote,advocate_0,advocate_description_0,advocate_1,advocate_description_1,advocate_2,advocate_description_2,advocate_3,advocate_description_3,advocate_4,advocate_description_4,advocate_5,advocate_description_5,advocate_6,advocate_description_6,advocate_7,advocate_description_7,advocate_8,advocate_description_8,advocate_9,advocate_description_9,advocate_10,advocate_description_10,advocate_11,advocate_description_11,advocate_12,advocate_description_12,advocate_13,advocate_description_13,advocate_14,advocate_description_14,advocate_15,advocate_description_15,john_m_harlan2,hugo_l_black,william_o_douglas,potter_stewart,william_j_brennan_jr,byron_r_white,earl_warren,tom_c_clark,abe_fortas,thurgood_marshall,harry_a_blackmun,lewis_f_powell_jr,william_h_rehnquist,john_paul_stevens,sandra_day_oconnor,antonin_scalia,anthony_m_kennedy,david_h_souter,clarence_thomas,ruth_bader_ginsburg,stephen_g_breyer,felix_frankfurter,harold_burton,stanley_reed,sherman_minton,arthur_j_goldberg,sonia_sotomayor,john_g_roberts_jr,samuel_a_alito_jr,warren_e_burger,elena_kagan,neil_gorsuch,brett_m_kavanaugh,charles_e_whittaker
0,2004.04-514,Bell v. Thompson,04-514,2005-04,2005-06,2005-01,"Ricky Bell, Warden",Petitioner,Gregory Thompson,Respondent,"Ricky Bell, Warden",majority opinion,5.0,4.0,matthew_m_shors,argued the cause for Respondent,jennifer_l_smith,argued the cause for Petitioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,minority,majority,majority,majority,minority,majority,minority,minority,,,,,,,,,,,,,
0,1966.45,Cichos v. Indiana,45,1966-10,1966-11,,Cichos,Petitioner,Indiana,Respondent,,majority opinion,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,minority,majority,majority,majority,minority,majority,minority,,,,,,,,,,,,,,,,,,,,,,,,,
0,1968.68,McDonald v. Board of Election Comm'rs of Chicago,68,1968-11,1969-04,,McDonald,Appellant,Board of Election Comm'rs of Chicago,Appellee,,majority opinion,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,majority,majority,majority,majority,,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,
0,2016.15-1191,Lynch v. Morales-Santana,15-1191,2016-11,,2016-06,"Loretta E. Lynch, Attorney General",Petitioner,Luis Ramon Morales-Santana,Respondent,,,,,edwin_s_kneedler,for petitioner,stephen_a_broome,for respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1985.84-6470,Davidson v. Cannon,84-6470,1985-11,1986-01,,Davidson,Petitioner,Cannon,Respondent,,majority opinion,6.0,3.0,james_d_crawford,on behalf of the Petitioner,madeleine_w_mansier,on behalf of Respondents,charles_fried,"as amicus curiae, in support of Respondents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,,,,minority,minority,majority,majority,majority,majority,,,,,,,,,,,,,,,majority,,,,
0,1976.76-128,Mandel v. Bradley,76-128,1977-02,1977-06,,Mandel,Appellant,Bradley,Appellee,Mandel,per curiam,7.0,1.0,george_a_nilson,,jon_t_brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,,,majority,majority,majority,none,minority,,,,,,,,,,,,,,,,majority,,,,
0,1997.97-29,Texas v. United States,97-29,1998-01,1998-03,,Texas,Appellant,United States,Appellee,,majority opinion,9.0,0.0,paul_r_q_wolfson,"Department of Justice, argued the cause for the appellees",javier_aguilar,Argued the cause for the appellant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,
0,1985.84-1479,Kuhlmann v. Wilson,84-1479,1986-01,1986-06,,Kuhlmann,Petitioner,Wilson,Respondent,Kuhlmann,majority opinion,6.0,3.0,steven_p_kartagener,on behalf of Petitioner,philip_s_weber,on behalf of Respondent,steven_r_kartagener,on behalf of petitioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,,,,minority,majority,majority,majority,minority,majority,,,,,,,,,,,,,,,majority,,,,
0,1955.8,"Indian Towing Company, Inc. v. United States",8,1955-02,1955-11,,"Indian Towing Company, Inc.",Petitioner,United States,Respondent,"Indian Towing Company, Inc.",majority opinion,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,,,majority,minority,,,,,,,,,,,,,,majority,minority,minority,minority,,,,,,,,,
0,1971.71-5078,Peters v. Kiff,71-5078,1972-02,1972-06,,Peters,Petitioner,Kiff,Respondent,Peters,plurality opinion,6.0,3.0,edward_t_m_garland,,dorothy_t_beasley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,majority,,,,majority,minority,majority,minority,,,,,,,,,,,,,,,,,minority,,,,
0,1964.149,Armstrong v. Manzo,149,1965-03,1965-04,,Armstrong,Petitioner,Manzo,Respondent,Armstrong,majority opinion,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,,,majority,,,,,,,,
0,1977.77-747,Allied Structural Steel Company v. Spannaus,77-747,1978-04,1978-06,,Allied Structural Steel Company,Appellant,Spannaus,Appellee,Allied Structural Steel Company,majority opinion,5.0,3.0,george_b_christensen,Argued the cause for the appellant,byron_e_starns,Argued the cause for the appellees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,minority,minority,,,,minority,none,majority,majority,majority,,,,,,,,,,,,,,,,majority,,,,
0,1981.89_orig,California ex rel. State Lands Commission v. United States,89 ORIG,1982-03,1982-06,,California ex rel. State Lands Commission,Petitioner,United States,Respondent,,majority opinion,9.0,0.0,louis_f_claiborne,on behalf of the Defendant,bruce_s_flushman,on behalf of the Plaintiff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,,,,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,majority,,,,
0,1997.97-147,Atlantic Mutual Insurance Company v. Commissioner of Internal Revenue,97-147,1998-03,1998-04,,Atlantic Mutual Insurance Company,Petitioner,Commissioner of Internal Revenue,Respondent,Commissioner of Internal Revenue Service,majority opinion,9.0,0.0,george_r_abramowitz,for Petitioner,kent_l_jones,for Respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,
0,1981.80-1430,Engle v. Isaac,80-1430,1981-12,1982-04,1981-04,"Ted Engle, Superintendant, Chillicothe Correctional Institute",Petitioner,"Lincoln Isaac, et al.",Respondent,Engle,majority opinion,7.0,2.0,simon_b_karas,on behalf of the Petitioner,james_r_kingsley,on behalf of the Respondent Isaac,richard_l_aynes,on behalf of Respondents Bell and Hughes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,,,,minority,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,majority,,,,
0,1966.79,Pierson v. Ray,79,1967-01,1967-04,,Pierson,Petitioner,Ray,Respondent,,majority opinion,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,minority,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,,
0,1990.89-1541,Martin v. Occupational Safety and Health Review Commission,89-1541,1990-11,1991-03,,Martin,Petitioner,Occupational Safety and Health Review Commission,Respondent,Martin,majority opinion,9.0,0.0,clifford_m_sloan,on behalf of the Petitioner,john_d_faught,on behalf of the Respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,,,,majority,majority,,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,
0,1989.87-1955,Lewis v. Continental Bank Corporation,87-1955,1989-11,1990-03,,Lewis,Appellant,Continental Bank Corporation,Appellee,Lewis,majority opinion,9.0,0.0,arthur_e_wilmarth_jr,on behalf of the Appellant,andrew_l_gordon,for respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,,,,majority,majority,,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,,
0,2009.09-497,"Rent-A-Center West, Inc. v. Jackson",09-497,2010-04,2010-06,2010-01,"Rent-A-Center West, Inc.",Petitioner,Antonio Jackson,Respondent,"Rent-A-Center West, Inc.",majority opinion,5.0,4.0,robert_f_friedman,for the petitioner,ian_e_silverberg,for the respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,,majority,majority,,majority,minority,minority,,,,,,minority,majority,majority,,,,,
0,1975.74-1243,Beckwith v. United States,74-1243,1975-12,1976-04,,Beckwith,Petitioner,United States,Respondent,,majority opinion,7.0,1.0,john_g_gill_jr,for petitioner,scott_p_crampton,for respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,minority,majority,,,,majority,majority,majority,majority,none,,,,,,,,,,,,,,,,majority,,,,
0,1990.89-1555,Dennis v. Higgins,89-1555,1990-10,1991-02,,Dennis,Petitioner,Higgins,Respondent,Dennis,majority opinion,7.0,2.0,l_jay_bartel,on behalf of the Respondents,richard_a_allen,on behalf of the Petitioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,,,,majority,majority,,minority,majority,majority,majority,minority,majority,,,,,,,,,,,,,,,,
0,1987.87-505,Chick Kam Choo v. Exxon Corporation,87-505,1988-03,1988-05,,Chick Kam Choo,Petitioner,Exxon Corporation,Respondent,Chick Kam Choo,majority opinion,9.0,0.0,benton_musslewhite,on behalf of the Petitioner,james_patrick_cooney,for respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,,,,majority,majority,,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,,
0,1968.4,Johnson v. Avery,40,1968-11,1969-02,,Johnson,Petitioner,Avery,Respondent,Johnson,majority opinion,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,minority,majority,majority,majority,minority,majority,,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,
0,1984.83-1274,Metropolitan Life Ins. Company v. Ward,83-1274,1984-10,1985-03,,Metropolitan Life Ins. Company,Appellant,Ward,Appellee,Metropolitan Life Ins. Company,majority opinion,5.0,4.0,matthew_j_zinn,on behalf of Appellants,warren_b_lightfoot,on behalf of Appellees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,,,,minority,majority,majority,minority,majority,minority,,,,,,,,,,,,,,,majority,,,,
0,2002.01-704,United States v. Bean,01-704,2002-10,2002-12,,United States,Petitioner,Bean,Respondent,United States,majority opinion,9.0,0.0,edwin_s_kneedler,Argued the cause for the petitioners,thomas_c_goldstein,Argued the case for the respondent,,,craig_goldblatt,for the Violence Policy Center as amicus curiae urging reversal,mathew_s_nosanchuk,for the Violence Policy Center as amicus curiae urging reversal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,
0,1978.77-6067,Duren v. Missouri,77-6067,1978-11,1979-01,1978-05,Billy Duren ,Petitioner,Missouri,Respondent,Duren,majority opinion,8.0,1.0,lee_m_nation,argued the cause for the petitioner,nanette_laughrey,argued the cause for the respondent,ruth_bader_ginsburg,for the petitioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,,,majority,majority,majority,minority,majority,,,,,,,,,,,,,,,,majority,,,,
0,1991.90-1859,Keeney v. Tamayo-Reyes,90-1859,1992-01,1992-05,,Keeney,Petitioner,Tamayo-Reyes,Respondent,Keeney,majority opinion,5.0,4.0,jack_l_landau,on behalf of the Petitioner,steven_t_wax,on behalf of the Respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,,,,,minority,,majority,minority,minority,majority,minority,majority,majority,,,,,,,,,,,,,,,
0,1986.85-732,"Western Air Lines, Inc. v. Board of Equalization of the State of South Dakota",85-732,1986-11,1987-02,,"Western Air Lines, Inc.",Appellant,Board of Equalization of the State of South Dakota,Appellee,,majority opinion,9.0,0.0,mark_v_meierhenry,on behalf of Appellees,raymond_j_rasenberger,on behalf of Appellants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,,,,majority,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,,,
0,1977.76-1621,McAdams v. McSurely,76-1621,1978-03,1978-06,,McAdams,Petitioner,McSurely,Respondent,,per curiam,9.0,0.0,frank_h_easterbrook,,morton_stavis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,,,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,majority,,,,
0,1982.81-1494,Block v. Neal,81-1494,1983-01,1983-03,,Block,Petitioner,Neal,Respondent,,majority opinion,9.0,0.0,lenny_l_croce,on behalf of the Respondent,carter_g_phillips,on behalf of the Petitioners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,,,,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,majority,,,,
0,1963.109,Wilbur-Ellis Company v. Kuther,109,1964-02,1964-06,,Wilbur-Ellis Company,Petitioner,Kuther,Respondent,Wilbur-Ellis Company,majority opinion,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,,,majority,,,,,,,,
0,1959.6,"Arnold v. Ben Kanowsky, Inc.",60,1960-01,1960-02,,Arnold,Petitioner,"Ben Kanowsky, Inc.",Respondent,Arnold,majority opinion,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,majority,majority,,majority,majority,,,,,,,,,,,,,,majority,,,,,,,,,,,,minority
0,1983.82-1734,Palmore v. Sidoti,82-1734,1984-02,1984-04,,Palmore,Petitioner,Sidoti,Respondent,Palmore,majority opinion,9.0,0.0,robert_j_shapiro,Argued the cause for the petitioner,john_e_hawtrey,Argued the cause for the respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,,,,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,majority,,,,
0,1988.87-996,Coit Independence Joint Venture v. Federal Savings and Loan Insurance Corporation,87-996,1988-11,1989-03,,Coit Independence Joint Venture,Petitioner,Federal Savings and Loan Insurance Corporation,Respondent,Coit Independence Joint Venture,majority opinion,9.0,0.0,jeffrey_p_minear,on behalf of the Respondent,robert_e_goodfriend,on behalf of the Petitioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,,,,majority,majority,,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,,
0,1987.87-920,Meyer v. Grant,87-920,1988-04,1988-06,,Meyer,Petitioner,Grant,Respondent,Grant,,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,,,,majority,majority,,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,,
0,1959.5,Hess v. United States,5,1959-10,1960-01,1959-03,Henry L. Hess Jr.,Petitioner,United States,Respondent,Hess,majority opinion,6.0,3.0,cleveland_c_cory,for the petitioner,alan_s_rosenthal,for the respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,majority,majority,majority,,majority,majority,,,,,,,,,,,,,,minority,,,,,,,,,,,,minority
0,2007.07-77,Riley v. Kennedy,07-77,2008-03,2008-05,,"Bob Riley, Governor of Alabama",Appellant,Yvonne Kennedy et al.,Appellee,"Yvonne Kennedy, et al.",majority opinion,7.0,2.0,pamela_s_karlan,on behalf of the Appellees,kevin_c_newsom,on behalf of the Appellant,kannon_k_shanmugam,"on behalf of the United States, as amicus curiae, supporting the Appellees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,,majority,majority,minority,majority,majority,majority,,,,,,,majority,majority,,,,,
0,1993.92-1750,"Fogerty v. Fantasy, Inc.",92-1750,1993-12,1994-03,,Fogerty,Petitioner,"Fantasy, Inc.",Respondent,Fogerty,majority opinion,9.0,0.0,lawrence_s_robbins,on behalf of the Respondent,kenneth_i_sidle,on behalf of the Petitioner,jonathan_a_marshall,for Hewlett-Packard Co. as amicus curiae urging reversal,william_g_pecau,for Hewlett-Packard Co. as amicus curiae urging reversal,jon_r_stark,for Hewlett-Packard Co. as amicus curiae urging reversal,stephen_p_fox,for Hewlett-Packard Co. as amicus curiae urging reversal,roland_i_griffin,for Hewlett-Packard Co. as amicus curiae urging reversal,jack_e_brown,"for Apple Computer, Inc., as amicus curiae urging affirmance",chris_r_ottenweller,"for Apple Computer, Inc., as amicus curiae urging affirmance",charles_a_blanchard,"for Apple Computer, Inc., as amicus curiae urging affirmance",,,,,,,,,,,,,,,,,,,,,,,majority,,majority,majority,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,,
0,2000.99-7504,Lopez v. Davis,99-7504,2000-10,2001-01,,Lopez,Petitioner,Davis,Respondent,,majority opinion,6.0,3.0,beth_s_brinkmann,"Department of Justice, argued the cause for the respondents",mark_v_meierhenry,Argued the cause for the petitioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,minority,majority,majority,minority,majority,majority,majority,majority,,,,,,,,,,,,,
0,2004.03-583,Leocal v. Ashcroft,03-583,2004-10,2004-11,2004-02,Josue Leocal,Petitioner,"John D. Ashcroft, Attorney General, et al.",Respondent,Josue Leocal,majority opinion,9.0,0.0,joseph_s_sollersiii,argued the cause for Petitioner,dan_himmelfarb,argued the cause for Respondents,j_sedwick_sollers_iii,argued the cause for petitioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,
0,1993.92-1988,Ticor Title Insurance Company v. Brown,92-1988,1994-03,1994-04,,Ticor Title Insurance Co. et al.,Petitioner,Brown et al.,Respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2000.99-1613,Shaw v. Murphy,99-1613,2001-01,2001-04,,Shaw,Petitioner,Murphy,Respondent,Shaw,majority opinion,9.0,0.0,patricia_a_millett,"Argued the cause for the United States, as amicus curiae, by special leave of court, supporting the petitioners",jeffrey_t_renz,Argued the cause for the respondent,david_l_ohler,"Helena, Montana, argued the cause for petitioners",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,
0,1980.79-1260,Chandler v. Florida,79-1260,1980-11,1981-01,,Chandler,Appellant,Florida,Appellee,,majority opinion,8.0,0.0,jim_smith,Argued the cause for the appellee,joel_hirschhorn,Argued the cause for the appellants,calvin_l_fox,Argued the cause for the appellee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,,,majority,majority,majority,majority,none,,,,,,,,,,,,,,,,majority,,,,
0,1962.332,Boesche v. Udall,332,1963-02,1963-05,,Boesche,Petitioner,Udall,Respondent,,majority opinion,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,,,majority,,,,,,,,
0,1999.98-7540,Carmell v. Texas,98-7540,1999-11,2000-05,,Carmell,Petitioner,Texas,Respondent,Carmell,majority opinion,5.0,4.0,john_cornyn,Argued the cause for the respondent,beth_s_brinkmann,"Argued the cause for the United States, as amicus curiae, by special leave of court supporting the respondent",richard_d_bernstein,Argued the cause for the petitioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,minority,majority,minority,majority,majority,minority,majority,,,,,,,,,,,,,
0,1998.98-10,Jefferson County v. Acker,98-10,1999-03,1999-06,,Jefferson County,Petitioner,Acker,Respondent,Jefferson County,majority opinion,7.0,2.0,alan_b_morrison,Argued the cause for the respondents,jeffrey_m_sewell,"Birmingham, Alabama, argued the cause for the petitioner",kent_l_jones,"Argued the cause for the United States, supporting the petitioner, as amicus curiae, by special leave of court",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,minority,majority,majority,majority,majority,majority,minority,,,,,,,,,,,,,
0,1984.9_orig,United States v. Louisiana (Alabama and Mississippi Boundary Case),9 ORIG,1984-11,1985-02,,United States,Petitioner,Louisiana (Alabama and Mississippi Boundary Case),Respondent,,majority opinion,8.0,0.0,benjamin_cohen,on behalf of Alabama,louis_f_claiborne,on behalf of the Plaintiff,jim_r_bruce,on behalf of Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,,,,none,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,majority,,,,
0,1972.71-1523,Hunt v. McNair,71-1523,1973-02,1973-06,,Hunt,Appellant,McNair,Appellee,,majority opinion,6.0,3.0,robert_mcc_figg_jr,,huger_sinkler,for appellees,robert_mccormick_figg_jr,for appellant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,minority,majority,,,,minority,majority,majority,majority,,,,,,,,,,,,,,,,,majority,,,,
0,2005.04-1186,"Wachovia Bank, N.A. v. Schmidt",04-1186,2005-11,2006-01,2005-06,"Wachovia Bank, National Association",Petitioner,"Daniel G. Schmidt, III, et al.",Respondent,"Wachovia Bank, National Association",majority opinion,8.0,0.0,sri_srinivasan,argued the cause for Petitioner,andrew_l_frey,argued the cause for Petitioner,james_r_gilreath,argued the cause for Respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,majority,majority,none,majority,majority,,,,,,,majority,,,,,,
